"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",29328,31396,33944,34572,31868,34812,32672,34248,34132,31828,34300,33832,31176,36624,33952,34304,34288,35060,33580,36020,35136,35304,34652,28912
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28312,NA,31276,35712,33348,33768,30452,31932,22712,22632,18356,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34224,32696,34200,34140,35880,32616,33352,29784,26872,21976,20560,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33016,36084,35836,37028,36776,36480,31924,33344,29572,23924,19344,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36292,37236,38224,36404,38712,37032,35656,33296,28992,23736,21852,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31620,35256,33428,34596,33452,32564,30292,32548,27364,20996,17712,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33376,37124,35036,31948,31664,34880,29500,31416,28456,21712,18504,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30244,19148,18596,19484,18840,20000,15244,18372,13180,10868,8332,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
