"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,340,480,972,4564,6900,8516,9228,9768,8500,9276,17676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,1148,2184,8008,13968,18328,21908,24556,22476,20320,17996,24992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,2520,4948,10908,15992,23392,24112,24824,23832,22192,23184,24836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,3708,5720,11564,19048,23536,25060,26556,23596,25360,21176,26212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,3572,6376,12672,19136,22252,23056,22152,24376,25432,24936,23892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,2748,6236,13056,19532,23228,25588,25460,26652,23524,24384,23348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",18252,21168,20452,24632,22688,22780,25048,23452,23236,22464,23148,22168,21868,21348,23464,25072,25664,25984,25708,27552,25056,24968,24740,24000
"I",NA,2584,5456,11236,21344,19212,26148,22896,23060,20916,NA,22000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
