"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",24072,37860,38780,44464,44024,41224,42420,44644,44280,46116,47632,43284,47544,45520,48020,47116,48864,45660,46900,47752,47808,48228,46668,36492
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42120,NA,40004,47724,40892,45796,43500,48204,47172,50208,48928,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46380,48232,51588,44748,44896,47696,47944,49960,50148,53856,55148,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43672,49348,47944,53024,49008,51308,50156,53404,52120,53128,53888,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49708,49960,51500,49812,55832,52804,53008,54312,57792,56748,57972,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39324,46188,48788,47556,48756,53832,45996,51692,48460,50756,47868,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46808,43804,42444,40752,41460,43484,44696,43024,45148,44880,42512,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46616,28504,28576,28520,26976,27948,26368,30664,28408,28204,27056,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
