"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,1080,2488,2656,3720,2836,5580,3152,3652,4084,4808,4460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,3868,4812,4948,4136,7648,8780,4816,9664,5108,5148,5680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,6376,8272,7744,6364,8228,8180,8540,5868,6488,9212,8944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,4040,7008,5064,6960,7712,7080,6188,6652,8596,5028,7112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,6572,5840,4756,6336,10444,8872,8280,2768,7708,5608,9776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,5796,7152,5084,8856,4424,7116,7628,5172,6360,4832,6900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",4804,4796,6516,6944,6660,6052,4344,4624,4392,4632,7828,5592,7008,11256,4612,5616,9180,7164,4092,7592,4740,8680,7360,6472
"I",NA,3436,7836,6736,6376,4756,8568,4800,8164,7012,NA,5512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
