"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",314600,309600,321320,318440,320600,329920,333640,360400,319080,357800,339520,347040,349840,359120,333840,325480,355840,335000,349440,330480
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1840,1920,2120,1840,2120,1920,2080,2160,2360,4240
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,800,840,640,760,680,720,800,1200,3200
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1680,1880,1440,920,560,400,280,480,1080,2880
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51240,45080,34760,19120,2560,800,480,480,1040,3280
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175200,180000,137960,107560,36400,5960,1240,800,1120,3040
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287520,313320,324720,294360,263720,137480,30000,11440,3600,4400
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303560,277800,296240,284080,263680,209880,72360,24800,12280,5720
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318840,320640,321920,313680,302520,219440,90640,37000,15160,7480
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295440,302600,291760,288480,287040,236840,78000,34240,15240,7680
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308240,313440,325280,302000,336440,228680,86480,35640,13480,10920
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,309800,301920,280240,265640,285800,280200,299280,312440,297120,292520
"O",239440,251640,256920,330560,293240,314480,284480,299600,275840,292240,315000,283280,274240,291880,294280,289960,311040,319560,354400,324280
