"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",76600,82320,97320,95200,113120,103080,104160,86560,98200,101560,101360,99400,105920,102520,107800,116120,112480,112920,102960,94080
"C",5080,5520,6320,6360,6680,5400,5480,4440,4760,4880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",7560,8560,8080,8560,8080,7280,7480,6840,6840,7080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",9520,10440,11160,11560,11280,10440,9280,10240,9280,9800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",14560,15760,16560,16560,15200,15400,13400,13320,14040,12160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",24160,33320,30200,29320,28880,27360,25320,20840,23040,24040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",49040,55200,57600,59600,55480,48040,46160,43840,41160,42840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",66680,83840,78360,97280,70480,66000,48880,58280,48800,53880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",84240,81920,93600,83360,68720,59080,51520,52120,46720,48880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",72800,82240,72960,84720,67280,61760,46560,49000,47280,42560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",83080,88240,92080,81520,70080,58520,45960,46440,44760,43040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103920,102200,88560,82680,93280,104320,101360,108400,92840,96240
"O",71360,80640,83120,89280,88280,90680,82240,94720,91760,103720,111560,93560,101920,88720,87880,97840,94280,113680,113440,87520
