"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",211760,251800,275600,294560,280320,272520,297440,262760,271640,281240,286000,287240,302480,261600,290360,299360,295120,279600,276720,253680
"C",16680,18520,21040,19960,15400,15760,13600,14320,13080,18640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",23160,22920,24360,23680,19560,18240,15760,15040,14280,16560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",25800,26200,31920,29120,24760,27200,18840,21520,21800,21600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",40880,41680,45240,38920,43760,42720,35920,32480,31160,29480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",62720,75600,85280,77320,66440,65800,48280,56600,53560,56520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",174600,182080,198680,190920,121920,105160,117200,104200,110040,98000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",185000,197040,243040,194080,111160,105560,117920,138080,122600,105760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",224240,215080,233840,207280,150240,131480,144360,117640,113520,98640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",189960,231200,186840,219760,118040,114560,110680,100480,101200,108400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",199400,233680,222680,191440,153240,114920,123160,101800,121280,82600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244000,232720,219040,226640,246480,252720,254280,237080,266920,234120
"O",187080,213560,202560,216200,219920,244760,212840,226160,201920,247240,251080,245200,188520,229040,264080,237200,242920,217400,210680,226920
