"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",309760,313680,330880,324240,339560,348320,314400,329760,362040,344280,351640,347280,340200,353800,357480,354160,357920,360560,356960,341520
"C",3800,2440,1920,1800,2120,1960,1640,1800,1880,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",2800,1200,880,560,760,560,600,600,520,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",2440,920,600,480,360,320,400,360,400,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",4080,3280,2000,1400,1040,640,400,520,320,840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",42480,50520,47520,39360,11000,2920,1520,1120,1200,2360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",260480,236200,273480,240200,212560,119080,50920,36520,24800,23840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",288480,309280,279400,300640,283480,235720,178520,182600,128280,122200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",260040,302640,319280,321440,301480,307120,217960,199600,192120,163360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",244080,292920,304600,294440,273160,277120,261520,224120,189560,197840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",284520,277560,308760,322800,317600,295160,285280,232400,200200,162360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,301360,313000,285960,297440,326760,308760,308600,341640,263240,329000
"O",228920,282200,279520,330360,276120,321160,265320,300680,287840,287000,291720,280360,292840,290240,306200,292640,319680,338000,356640,330240
