"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",262000,291080,326920,323280,331480,352960,325880,339720,337120,310680,324680,334120,338320,343360,348000,343200,350480,356280,352960,305960
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3480,4280,3080,2360,2040,1920,2240,2240,2080,4160
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3440,2840,3160,1400,640,640,800,880,1440,3560
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3400,3560,2640,1280,400,400,360,400,1320,2880
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5160,4200,3360,2040,640,400,320,320,920,3120
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17560,16800,9440,3960,1120,800,400,440,1120,3000
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157680,154320,136160,96360,31320,2760,960,1040,1320,3000
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289840,332960,266400,269080,127920,38960,8240,7840,5480,6800
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311880,277760,284400,262960,203760,54920,22800,19080,15560,12920
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266960,303640,258760,252080,188920,73480,27680,29160,23320,19240
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,318920,297200,301760,279120,208360,62720,38000,31560,30160,19720
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239920,250800,276080,290800,289640,278600,280880,291720,245040,275000
"O",268320,298320,285360,322680,286080,337880,316720,335560,303080,381040,325440,336840,279200,332040,304360,327400,323720,370720,322400,344720
