"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",209640,196480,217560,225760,244240,227120,240680,231600,215720,230560,259480,225280,264720,225480,254320,241200,280600,246200,262680,261040
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440,1640,1400,1400,1800,1520,1880,1600,2080,3680
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,720,600,640,760,680,680,760,1240,2520
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,760,1080,1080,1080,1160,880,1120,1200,1720,2640
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3960,4080,4840,4600,3400,4320,4280,4240,4720,4840
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31760,33240,34120,30480,28440,29760,28800,27760,32080,26800
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202040,203240,213440,192320,176600,130160,137400,133520,136840,123720
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229080,214240,238720,236000,204480,203080,153320,145600,140480,132440
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242200,203880,197960,215480,172520,146800,130200,130880,107960,90640
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,206080,202440,206400,196800,201680,137560,113960,111160,101640,83920
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203240,208120,215720,205200,189760,137960,111920,100440,95000,79480
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200040,185080,178720,201200,183480,199960,216480,219040,220800,194920
"O",169680,178440,167640,210040,183120,193040,190000,201800,185280,192800,187480,193400,178120,187240,176800,201320,208840,200520,174440,210680
