"","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22"
"B",192760,212760,263400,255120,280440,278680,247080,250480,280320,267520,288600,262360,280560,275920,267560,279280,289000,295560,269280,221680
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13000,17840,14960,15160,13320,11080,11400,10800,10360,10760
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21880,24360,25160,21600,16800,15560,15880,13360,13640,12240
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40880,48760,39800,28600,29120,21880,19600,18720,19840,17400
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68760,69360,65920,65960,60320,51720,40240,35040,36120,29480
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122800,137400,126880,122160,86800,89520,74680,67240,51200,51960
"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264640,246680,260400,220960,156560,139080,121560,103640,101360,96680
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239360,264120,250280,221440,134600,122440,95280,98480,76040,96080
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268280,250520,269880,218040,160760,115200,95960,102440,96480,88440
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246800,258400,230120,219840,137560,126880,117840,126760,104280,87720
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275760,236680,253480,206160,151640,114280,116640,89920,106840,90840
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231600,230880,237840,231520,226080,220680,239040,253560,247880,222400
"O",228880,179920,206680,243520,232920,227840,197760,182040,216400,235560,250040,250200,224800,205360,212360,236800,213760,254360,246000,254680
