"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12540,9740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10801,12327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13258,11991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10710,11235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11840,11101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12831,11406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",11838,NA,NA,NA,NA,NA,NA,NA,NA,NA,11385,10938,10828,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",10306,14335,13057,10580,6697,5845,2560,2127,1251,918,9699,10370,10719,12033,12679,10411,6055,4699,3211,2128,1215,1591
"J",12030,11591,12741,10219,6031,5670,2866,2152,1730,1239,11663,11863,13110,11800,12130,9566,6420,5578,2762,1906,1787,1348
"K",12595,12752,13951,11667,9857,4499,2863,1872,1588,1542,12449,12808,11173,12832,11659,8975,6598,4007,2478,1878,1965,1373
"L",14587,17523,13538,14543,7032,4048,3143,1891,1304,1221,12363,11936,13601,14161,15346,10562,6556,3686,2222,1775,1694,1138
"M",14605,19695,18294,13275,6269,3074,2288,1533,1218,1027,12560,13107,15462,16061,13339,12258,4654,2936,1980,1685,1555,1083
"N",725,1389,1942,1625,1503,1306,1344,1092,1227,1014,11177,9887,1307,1881,1610,1743,1358,1208,1117,1034,913,1111
"O",13919,17360,14351,10956,8997,4799,2761,2024,1545,1175,10559,11013,12046,11879,12274,9881,5499,4103,2614,1533,1280,1128
