"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",79300,78760,82120,79760,81900,84340,76420,76180,83200,79980,80840,78000,76820,75800,72040,72980,70400,78580,72660,72300,75840,74820,72180,71460
"B",73040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75960
"C",75380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69000
"D",78920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66360
"E",76220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70760
"F",79140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73020
"G",74840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51240
"H",78880,74720,62460,72140,72700,16740,15500,66840,70120,71220,82580,75820,78960,67240,75480,76380,71500,73360,78460,86540,81280,76740,73940,78380
"I",80360,67540,27700,29860,28720,28840,34740,47620,60840,75360,81020,75000,71500,29760,30800,37520,37380,38240,50940,66540,71940,71260,67980,69260
"J",77640,45640,6460,5580,7980,7340,8660,16560,27860,43040,50280,53100,54140,7480,7080,7840,7700,8440,20880,30280,37020,40620,37860,66660
"K",76540,49280,8480,8160,12520,10580,11940,24580,17140,54580,35320,63940,63740,12600,10060,11360,10740,13180,34240,39880,52200,46760,44200,73520
"L",75040,61120,17780,20820,27840,25160,25020,41900,55660,75820,72560,18640,76200,22860,23060,25420,23260,26700,53560,33960,67780,29240,62940,76400
"M",74440,73060,27900,32960,39780,37160,32440,51740,77580,80600,38840,80200,77560,31280,29920,29960,33320,37280,66040,75280,75640,68400,70160,11300
"N",71060,72960,31360,32940,42160,41020,40040,56040,67020,76520,85320,84740,91580,34020,35020,33820,37560,35040,67440,85720,80460,83060,78820,13680
"O",76840,42860,36420,40480,44580,46660,45100,58360,74460,88140,89120,88100,91180,40220,40980,37140,42940,44400,73560,83700,90180,85420,73240,77320
"P",69980,81960,77880,92240,92180,97360,84540,81740,81820,87620,90800,81940,82740,88960,87500,80100,38760,81000,92000,87680,81280,83620,82780,78460
