"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",17825,21444,21258,19485,20025,16611,6938,3092,1700,1866,37581,31974,19328,19446,16844,15684,14264,13345,5637,2589,1457,945
"C",24147,24917,26267,28226,27400,20941,9980,4336,3518,3799,33442,31792,25701,21392,21678,19133,20865,18017,9249,3938,1914,1666
"D",28452,29735,33053,28333,30602,28624,12293,5369,3878,3188,32565,32695,25725,24791,25151,24701,21246,19739,13157,4060,1754,1448
"E",30991,29039,29349,30762,26391,26529,16899,7023,4455,4160,31763,33726,31493,28089,28590,26119,25816,26210,11959,4761,2658,1694
"F",31055,36201,34094,29958,31011,26878,18524,6744,4880,4789,35468,35499,31664,31398,30428,29095,30391,25008,14520,5337,2320,1973
"G",29245,36280,34540,33804,28729,28031,21460,6800,4960,4163,35937,34108,32112,33473,29954,32138,30337,24128,15177,4898,2500,2516
"H",34815,30423,32572,32257,31854,29596,19521,9091,4843,4214,35876,34344,30179,33661,32439,28317,29692,26899,17281,4565,1847,2269
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36185,31795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35639,33901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36096,34089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36523,30093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37447,34696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34621,34658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",36605,NA,NA,NA,NA,NA,NA,NA,NA,NA,34159,36279,32628,NA,NA,NA,NA,NA,NA,NA,NA,NA
