"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",15211,10576,10431,7815,5912,6179,5135,5265,5579,7335,10819,11845,13376,10324,9067,5830,5774,5739,5443,4759,6144,5172
"C",13100,13249,10241,8831,6295,6833,5818,6584,5095,5428,16007,18052,13963,9409,9239,7156,6936,5875,5921,6465,4726,5299
"D",14347,9566,7897,7204,5904,5890,5852,6020,7034,5793,15683,15611,14751,10440,7420,5774,5070,5370,6091,4670,5767,5780
"E",13089,12384,10356,10018,6501,7475,8269,7269,6827,6718,15534,15100,13374,10676,9684,6614,6500,6108,6559,5313,5871,7572
"F",12120,10834,8770,8511,8365,7658,6457,7386,6568,6290,20463,15976,13840,9573,8752,10629,8738,7307,9895,7287,6034,5524
"G",12457,8468,7081,7464,8761,7290,5490,5223,5691,5277,17827,16535,15281,6953,7261,7878,9012,6906,5691,7884,4928,4084
"H",14504,10456,7925,5171,4384,4843,4401,4419,5869,5837,15941,17774,17449,11620,7519,5371,5350,6143,4581,4355,4832,5258
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15326,14446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13687,16257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14461,14092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13887,15573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11359,14295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",15534,NA,NA,NA,NA,NA,NA,NA,NA,NA,14914,15132,14247,NA,NA,NA,NA,NA,NA,NA,NA,NA
