"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7709,8145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7853,8040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7758,7935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7679,7960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7667,7814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7766,7812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",7674,NA,NA,NA,NA,NA,NA,NA,NA,NA,7370,7706,7837,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",7568,7363,7418,7696,7969,7407,6764,6256,6162,5972,7743,7753,7909,7677,7649,7695,7879,7466,6647,6434,5882,5298
"J",7623,7134,7336,7560,7706,6819,6799,6280,5920,5910,7656,7786,7698,7525,7588,7686,7873,7289,6527,6000,5064,5311
"K",7618,7213,7281,7455,7375,6666,6375,6055,6033,5591,7593,7892,7546,7562,7544,7598,7424,7426,6415,5799,5171,4919
"L",7372,7074,7185,7493,6986,6153,6214,5950,5710,5635,7755,7772,7725,7459,7467,7701,7155,6663,5718,5542,4941,4257
"M",6590,6925,6819,7118,6386,5105,4937,5241,5023,4702,7435,7815,7457,7352,7206,6888,6599,5824,5667,5176,4373,3906
"N",5042,5855,5890,6117,5260,4330,3821,4615,4064,4144,7605,7600,5964,6157,5153,5396,5574,5260,5165,5175,4793,4558
"O",7772,7675,7811,7956,8153,7389,6929,6581,6486,6262,7655,7674,7734,7480,7470,7543,7606,7309,6778,6612,6568,5597
