"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36429,30953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34643,34840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31851,34267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36322,30651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30662,34961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33708,33535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",37244,NA,NA,NA,NA,NA,NA,NA,NA,NA,35502,30371,35326,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",20391,22681,21287,22484,21014,17507,13979,10711,11799,12528,35984,34163,19792,20045,17712,17969,19273,14203,11814,12174,10978,7706
"J",25753,155,27090,24407,21366,21564,18579,16032,15306,14610,35387,34750,19831,23426,21721,19317,18105,17685,14880,14797,12735,9992
"K",25794,23341,28483,28394,27567,24793,19165,15979,16121,16568,30701,34152,21264,22474,24350,21085,22438,21704,19040,16969,13876,12514
"L",30352,31042,31381,31591,29874,27927,23877,20459,21393,20863,33338,33581,27479,24413,28765,25765,27565,26837,23869,20335,19200,14744
"M",32274,32732,36776,35503,38294,33674,28464,26870,24231,25821,33881,34592,32208,31769,32726,30761,33266,31633,29254,24687,25969,20203
"N",38949,40451,35984,37957,35033,36287,32312,31663,29805,28764,33346,36639,34197,30808,35366,35622,31628,31921,33021,30631,30422,24974
"O",39057,34838,41082,37007,39237,37432,34805,31901,28681,29078,35542,35177,34450,33994,36006,35106,33802,34644,34188,31787,30756,24713
