"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",13037,12721,11281,10542,10077,5044,4317,2408,2181,1884,12540,9740,10144,13669,8969,9569,6212,4071,2795,1784,913,657
"C",11207,11175,13205,9422,7058,5972,3047,2230,1243,1154,10801,12327,12793,12136,14048,8577,5716,4034,2197,1530,1360,746
"D",12166,14356,0,10485,6479,3884,2532,1730,1817,1145,13258,11991,11323,12136,11013,8148,6943,3789,2799,1659,1086,1001
"E",11877,11682,11808,10176,8266,4057,2631,1685,1300,875,10710,11235,9756,10788,10329,8682,5588,3181,2590,1424,977,1044
"F",11193,11182,12501,9689,7426,3016,1467,1405,1017,904,11840,11101,11629,13243,10038,8503,6466,4684,2094,1215,1040,775
"G",10644,11884,10190,8149,5493,2588,1345,675,932,707,12831,11406,12491,10552,9349,6999,4951,2806,1274,875,696,836
"H",11838,12152,11564,9454,6309,4950,2087,1572,1712,993,11385,10938,10828,12001,9814,9731,6275,3954,2245,2052,1366,1042
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9699,10370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11663,11863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12449,12808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12363,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12560,13107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11177,9887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",13919,NA,NA,NA,NA,NA,NA,NA,NA,NA,10559,11013,12046,NA,NA,NA,NA,NA,NA,NA,NA,NA
