"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17525,14270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14296,14143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14851,16053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13811,13713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14365,15140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14173,13780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",17408,NA,NA,NA,NA,NA,NA,NA,NA,NA,17252,13795,16098,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",14905,14949,14664,14152,13986,12521,8954,4599,2838,2062,15582,14801,13253,14455,12425,13372,12612,10807,6078,4843,2754,1941
"J",14250,14742,14007,13978,14422,12797,9902,4192,2756,1716,15012,13588,13554,14095,13497,13849,13947,10542,8619,5492,2695,2000
"K",14640,14327,16709,14305,14521,15986,7254,3349,2582,1451,14848,13490,13743,11955,11861,13146,11764,10686,6720,4483,2478,1562
"L",13507,13495,11884,13344,11889,7943,3592,1554,1149,828,13775,13238,11338,12790,12003,12178,11608,6586,2825,1167,757,687
"M",1691,2004,2812,2549,1596,521,462,183,179,153,12561,13360,3805,3651,2867,2205,1532,751,468,287,230,97
"N",127,179,182,201,92,45,48,39,35,37,13908,13097,352,305,264,165,77,97,84,85,81,59
"O",17383,19244,15955,17206,15354,12557,8137,5128,2908,2066,15444,17584,16888,14653,14202,14341,15002,11636,7533,3967,2518,1623
