"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26986,23424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24320,25755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27179,23532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27957,26394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29830,25795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25227,25851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",21580,NA,NA,NA,NA,NA,NA,NA,NA,NA,23373,24961,30463,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",10,2,5,5,4,4,2,2,3,7,25099,29983,56,5,19,2,3,4,2,15,4,9
"J",6,13,18,14,16,15,10,3,4,6,32667,26079,21,6,4,5,5,6,10,7,6,7
"K",9163,10063,10473,12466,14071,9943,7097,4773,3691,2686,30589,29585,19507,16947,15622,13836,15325,11094,6174,2472,1342,1799
"L",26906,25417,23778,27014,28514,27722,26385,23858,22258,21922,23643,26387,30007,29785,26396,29331,28522,24860,23743,20271,18262,15729
"M",24892,28669,27322,27934,32188,29275,30619,25779,26479,24046,28945,27851,25991,25430,29841,26708,24976,28669,26071,22133,21009,18898
"N",28395,23599,24900,29128,33232,26313,26445,24777,21723,23330,26346,25724,26504,26282,28476,27772,30486,29751,29329,27161,26956,24237
"O",26803,28930,28117,29129,28725,28094,27449,25927,24748,24928,25150,29293,26652,26660,28079,27624,25595,24851,28819,23319,26949,19827
