"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",27433,26619,30287,27235,26916,18346,7679,2608,2021,1260,28289,29177,25942,25201,28082,23029,24143,18616,6666,2601,1431,970
"C",26854,27049,27932,27257,24158,16625,7680,4656,2599,2173,31429,25889,27091,27844,26038,24214,24608,17295,5476,2701,1160,909
"D",28116,33826,30051,32061,28147,22327,8829,3965,2377,2042,30651,26541,33940,27194,26477,27628,27314,19859,7381,2471,1664,935
"E",27852,31697,31358,28908,25891,22246,8495,4312,3804,2254,31526,26848,30881,26777,30488,28355,23011,19917,7220,3181,1739,1088
"F",29885,29204,28363,29218,29490,21326,9567,4072,4217,2343,32443,31992,27626,26213,24226,29561,25055,23701,8032,2856,2034,1067
"G",30537,33970,28716,31699,28555,21945,9532,4907,3149,2079,30158,26089,31437,26940,25627,26748,29819,21032,7407,2567,122,1071
"H",31702,29807,26932,28737,29467,22166,10206,5151,4353,2590,34203,31648,26492,24834,27265,27395,25530,20477,10099,3794,1751,1183
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31256,30957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33290,30860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29564,30976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31284,27979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33372,28714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29296,30322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",35199,NA,NA,NA,NA,NA,NA,NA,NA,NA,34111,29366,31942,NA,NA,NA,NA,NA,NA,NA,NA,NA
