"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28070,30624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27774,29999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29550,29409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29578,29402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29973,29965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32128,29614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",30641,NA,NA,NA,NA,NA,NA,NA,NA,NA,31853,33243,31573,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",32053,33305,32360,31200,32290,32559,33054,32912,33497,33932,31114,30426,31689,31414,32794,35603,34361,36273,34511,35499,35682,38704
"J",33167,33446,34290,33323,32920,33073,34301,32261,32667,33876,32231,29962,33224,32983,33337,33344,33634,34380,34324,35411,35598,35904
"K",34751,34737,36801,35018,33893,33983,34343,31599,32842,37908,35120,32649,32927,33570,36706,34780,37007,37527,34392,34969,35431,35625
"L",36098,38273,34854,34873,35142,34424,34486,34990,35094,35825,33099,36248,32736,32513,34277,34080,34254,33688,31471,33982,34204,37952
"M",34812,37309,34510,35292,38278,35605,36465,36124,38993,40260,36398,32799,32309,33261,33842,34471,35242,33821,34300,34390,35067,36396
"N",36284,35307,36331,38618,37178,37234,38287,40870,41184,38266,34128,34315,35021,35505,37807,41121,39951,37735,40077,39513,37803,39755
"O",37186,36627,36225,39772,35419,36411,39837,39570,36353,37752,37514,39692,36947,34335,38082,41727,39952,37999,37125,35726,36391,35950
