"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9857,9898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9151,8472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9264,8462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10073,7519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9025,6449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8617,6970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",11754,NA,NA,NA,NA,NA,NA,NA,NA,NA,10436,7638,7858,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",11337,12411,10559,9469,9236,8661,9335,8185,8180,7825,9164,6925,7240,7887,7757,5965,5908,5546,5405,5553,6896,7818
"J",12490,11122,10749,9373,9944,8710,8307,8691,8854,7705,9653,6814,6374,7213,5863,5562,5230,5077,5989,5190,5834,6408
"K",8690,9424,9001,8558,7009,7099,5474,5887,5363,4894,8928,7455,6488,5466,5383,4201,4236,4582,5233,4631,5201,5267
"L",6700,5751,4863,3785,2932,2560,2431,2130,1792,1466,10210,8097,4151,4527,3672,2993,2290,2087,2123,1915,1544,1197
"M",2621,944,642,646,561,385,409,391,301,237,8222,8859,2121,1465,1026,647,484,420,349,309,247,161
"N",188,94,83,59,60,56,53,40,74,61,9330,9998,207,114,98,74,73,68,56,63,62,64
"O",11536,11804,11486,11370,9680,10995,10445,9548,8651,10013,9939,8436,8648,8704,8270,9093,7950,6590,6484,7410,7362,7600
