"","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,29360,33800,27920,33520,23480,37040,28320,32640,30120,29320,27360,20480
"B",31840,12320,12040,11680,12400,12440,11920,11520,14800,10040,7680,3880,30280
"C",37680,14400,11800,13960,12640,12720,12200,12160,9720,13400,10400,5120,26080
"D",39120,13840,13440,14880,13920,15000,14640,14080,14120,11960,10360,5800,36040
"E",39200,16200,19320,21520,15840,21360,17000,14520,19040,18320,12280,5280,28160
"F",37880,26520,25000,31800,32120,27160,27840,29320,22120,21120,10400,6440,30480
"G",40400,32720,36240,37800,38000,35960,33960,37120,25880,17280,12440,5480,25160
"H",35240,39520,35400,47480,40720,35880,32760,39160,30560,21400,14200,6280,26360
"I",45080,42920,34880,40200,40960,41760,38440,29680,33200,19160,13840,9080,29720
"J",39480,36680,35920,36640,29840,36160,38680,43960,28600,23080,12960,6520,32600
"K",40040,28080,33080,34120,27000,26320,28400,29440,26720,19880,10240,7680,34160
"L",41080,22720,19280,19320,18120,20240,18280,19800,18920,16560,12720,7160,28720
"M",39560,14520,12520,14080,16040,12680,14120,12800,13120,13080,9240,5360,28320
"N",40800,13880,16360,13600,13600,12960,13800,15080,14440,10480,7280,4400,33240
"O",40760,12480,11160,7960,12720,8320,12960,8240,13160,7160,7720,3920,27960
"P",NA,32840,24280,38800,20000,33400,18680,35000,30720,31760,21720,27400,21400
