"","1","2","3","4","5","6","7","8","9","10","11","12","13"
"A",22320,24040,24280,31920,36480,34680,26360,27400,30760,30920,29800,32760,NA
"B",26720,9000,12040,11120,11160,13320,11240,13400,12640,10680,13280,31840,12320
"C",27040,8040,11720,13720,12600,14600,14280,14800,14800,13800,12280,37680,14400
"D",27200,10400,10680,10760,13800,12480,11560,13000,14120,11880,10360,39120,13840
"E",23960,10120,13040,12800,12560,16040,16160,18560,19240,23720,18720,39200,16200
"F",35680,12120,16800,13640,17160,23600,24560,28280,27560,34040,31720,37880,26520
"G",23960,11120,12520,16600,16240,22400,29720,36480,33520,38320,46120,40400,32720
"H",34680,11120,13280,16640,23440,26640,21880,31720,47160,41000,37920,35240,39520
"I",22720,12520,14840,17840,17760,21120,29080,34800,38240,36520,40720,45080,42920
"J",29360,10720,16240,15680,20160,20640,33120,34040,33520,35600,34640,39480,36680
"K",20280,12400,14400,14120,15000,15600,28240,24360,29320,32280,33240,40040,28080
"L",30040,12840,10960,13000,13960,15680,18640,21160,19200,23040,20480,41080,22720
"M",24360,12360,10440,11640,11440,15160,12560,15120,15840,16600,16400,39560,14520
"N",35080,11360,12000,12240,14520,14400,13080,15800,14000,15080,14280,40800,13880
"O",20920,7760,7280,11600,12760,11120,11400,13880,12560,13400,14440,40760,12480
"P",21640,16400,33560,20400,39000,16200,35720,36520,28240,33040,34160,36800,NA
