"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",960,NA,148600,18840,120160,44840,109280,75080,1720,185440,43200,144880,173880,241000,29120,146800,43720,51960,36000,137760,2840,67280,125680,153360
"B",93240,32200,167000,136800,61680,31920,229760,190760,NA,101080,54320,163560,82920,161040,91840,38960,79520,53520,76320,150120,194680,64000,43000,162680
"C",90440,171280,13520,2600,38240,221720,7720,66560,64640,98080,118720,177320,10360,185400,163360,10000,31520,169160,155720,60320,112800,59640,163280,95040
"D",NA,4000,1680,159240,219200,15640,186240,191960,1880,1680,172920,140640,92440,180440,9480,84400,88440,44520,43160,103280,182240,186240,27720,166240
"E",175840,2520,82240,44040,33800,2280,173480,64480,2720,19080,16120,160000,38480,61200,2640,2520,152560,1840,2120,2360,176120,17520,4440,2680
"F",156520,1800,NA,144600,130160,139440,4000,82200,43120,13320,50280,9560,156320,125360,151720,128840,90720,139480,NA,NA,185440,110840,84480,13840
"G",177600,63680,NA,148120,1480,38640,5120,167240,181880,148000,153080,2240,50560,1960,74080,92680,87360,142080,98120,188520,21200,168320,2960,37320
"H",177560,175600,127560,23720,27080,163200,11800,6040,143840,89920,112880,67280,118000,131880,2600,7120,155560,103400,NA,12400,NA,1880,58640,30240
"I",22040,63160,33040,53160,2080,NA,212960,1920,77320,150280,3280,141040,140640,146280,57520,125440,71280,121680,73840,104160,150280,19600,NA,1800
"J",11160,70560,NA,157720,158200,244960,58640,2200,148000,150800,2480,128280,9720,163680,2840,149120,135480,45440,19400,149000,118160,144240,190960,188400
"K",98120,160160,204800,7160,10880,197280,4640,157480,85560,1880,150320,135320,147400,151520,3320,134960,108720,NA,28840,153080,17160,6720,79360,1560
"L",94480,44400,207280,36400,NA,3000,176720,71120,208240,2240,2160,43000,9240,NA,175080,127080,NA,53000,6320,153920,93040,79240,200640,1720
"M",159160,202200,224840,167960,76640,219280,4840,159480,15240,140600,158360,1800,1920,155280,213440,78440,137880,137240,3360,NA,112520,192760,46480,85160
"N",45720,178000,9800,155520,171880,102280,157080,108320,44880,100400,144240,2600,117480,2720,2520,57000,163480,108880,158240,152160,64360,NA,47960,95480
"O",60040,70360,168680,NA,54320,2600,215080,NA,137000,73080,156880,130080,171720,162360,66120,NA,186640,142320,94040,162120,157040,159640,47000,49160
"P",185160,NA,58720,46080,208640,244480,201960,72800,65960,181360,41480,184800,212880,171720,124760,145440,201760,189960,10960,149280,NA,88960,NA,107400
