"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",137560,NA,129440,135520,142000,138720,153600,147440,137000,162560,140160,157240,171680,178320,159840,197040,141240,144480,139600,140200,131960,131920,133200,161000
"B",136560,126640,123840,138560,140360,135760,174000,149480,NA,151720,137680,146040,144800,161440,148120,170840,145040,148760,142160,139400,152360,128760,122400,152640
"C",138240,134280,123640,132560,140480,144920,134280,139600,153120,138120,136880,146080,141240,157120,158840,132920,135360,146960,142560,135240,140680,129600,131000,156440
"D",NA,131320,124840,145200,143600,138000,145960,144240,133320,130640,138040,159440,146480,155880,136680,143600,137360,131800,138120,137760,145360,143120,128560,156600
"E",172440,133240,128240,139320,135240,120800,155800,137200,129880,126720,130080,136960,143800,143080,135200,139320,145520,120160,140960,123960,152600,131760,142880,137280
"F",141120,129720,NA,148960,139120,144080,131720,140200,137200,137640,134200,133600,143280,146760,158960,136600,138080,143080,NA,NA,140200,136800,135800,144120
"G",162600,136920,NA,153880,135880,138240,130200,137720,146240,147160,138720,122320,142440,151160,139240,145800,139560,143960,141000,146800,133480,126560,129680,127720
"H",165080,153880,134800,143280,136760,142080,133360,132880,141840,144560,137840,135320,157960,165280,124880,136240,143000,151480,NA,130040,NA,132200,138680,139080
"I",133840,140680,130720,138200,130120,NA,161440,132520,138520,149640,122440,147440,154760,171600,138880,145720,139200,142760,137000,131320,153560,132600,NA,136120
"J",140000,134400,NA,136880,144560,168880,135720,132360,160240,141320,133240,175680,136160,139240,131400,144880,143360,141880,130680,155560,140360,141200,146120,190400
"K",147280,146920,135640,138200,135800,143760,157160,149920,144880,131800,139720,143680,167480,171840,131680,160800,142600,NA,138440,139480,148920,138280,141760,130880
"L",143920,138160,135320,136000,NA,133200,162480,140760,149320,130160,131680,136800,146320,NA,148560,165200,NA,140200,131680,141560,137640,133960,152360,150120
"M",181320,159480,141640,152280,143600,148040,144200,148960,136840,163240,146320,128000,156880,187520,147600,162360,148800,174320,137640,NA,142120,154280,147080,145520
"N",131840,134360,127760,145360,148160,147360,156520,137160,142680,146240,144320,146840,145200,130160,135360,136840,164440,137120,146400,156920,143000,NA,141360,165560
"O",139840,139640,146720,NA,142960,126400,166200,NA,151720,151280,148440,167960,167520,167240,150600,NA,150560,143120,148360,168880,148960,144200,132160,165400
"P",154880,NA,127400,138680,155280,158920,162160,145760,149080,170800,153200,167320,174400,179400,156080,152480,168760,148600,134200,156440,NA,145280,NA,160720
