"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",6249.5,7102.85,6857.23,9853.26,9027.39,6430.32,7629.06,9036.19,7449.75,7883.57,8538.52,6438.16,10244.71,9666.93,8903.92,10264.47,9141.51,6022.59,7458.62,4484.2,7092.16,5499.58
"C",7278.71,574.26,474.24,459.98,591.71,430.32,674.96,687.94,1227.58,1188.04,8814.04,5127.53,834.89,423.44,644.46,621.62,635.07,708.25,562.84,913.94,593.32,7094.58
"D",7187.1,728.15,851.19,633.88,640.17,819.56,980.37,1749.66,2184.57,2077.21,9422.77,10156.08,2794.03,598.71,687.94,790.27,1201.91,757.87,516.48,1112.54,1594.28,5499.39
"E",8499.18,1202.15,1092.65,917.25,1162.61,932.05,1387.47,2452.52,2649.03,4351.12,7805.35,7934.14,4546.4,864.81,1057.02,982.07,1248.09,975.78,1444.26,2616.17,2442.18,7520.87
"F",8001.45,1056.72,936.94,1378.19,1312.67,1320.08,1661.8,2816.59,3893.69,5729.36,7115.91,7558.75,5187.71,1325.18,855.51,1377.28,1537.63,1278.22,1561.39,3039.57,4380.01,6749.97
"G",8813.07,1586.84,1735.36,1751.42,1964.18,2161.36,2245.21,5843.41,7346.11,9612.89,10500,9913.37,9896.38,2379.68,1629.42,1789.66,1945.91,1593.57,1965.64,4817.79,4966.38,6604.13
"H",8119.82,2449.61,1927.57,1785.54,1808.24,2489.4,3150.99,6043.27,8010.23,9403.69,8378.31,11545.7,11238.42,1898.03,2134.21,2136.42,1749.94,2000.2,2766.28,5747.26,7252.88,7230.13
"I",10530.52,2243.86,2443.17,2390.38,1931.11,3258.85,2834.75,5813.69,11113.41,13488.22,8813.43,9363.39,11206.47,2865.39,2241.3,2235.95,2476.78,3012.99,3303.77,6177.31,9046.8,6743.1
"J",10218.93,2391.76,2067.17,1869.17,2480.69,3300.38,2879.43,6070.98,9967.35,11600.99,10136.12,11449.05,9721.39,2280.85,2413.68,2564.14,2459.91,2553.33,2855.51,6420.11,7161.5,8132.13
"K",9546.13,2140.29,2527.83,2252.85,2692.67,2744.59,4218.46,6036.17,12111.21,9008.67,11262.34,9368.7,10487.44,2537.63,1853.32,2464.41,2260.22,2804.55,3669.51,7285.67,6810.78,8994.68
"L",9721.77,1997.59,2546.18,2124.02,2116.43,2053.82,3612.92,8419.87,9145.88,10571.11,8738.7,10986.22,8152.45,2449.88,2475.95,1707.28,2923.36,2833.79,2994.45,6354.05,7932.38,7291.55
"M",6580.91,1968.92,1945.74,2080.38,1777.24,2275.83,2717.2,4491.79,8661.66,10476.97,10068.71,8634.76,8202.48,2068.85,2110.72,2025.12,2147.73,2119.93,2460.97,5341.43,6069.03,7488.07
"N",7375.87,7539.41,9081.61,8502.29,8586.35,8007.27,6255.56,9258.46,10814.07,9348.75,6606.29,8976.94,8917.02,9672.81,8912.04,6568.97,6434.7,8216.18,7533.98,10407.83,6537.65,7621.08
"O",7924.19,6867.26,9106.43,7212.34,9723.83,8211.55,9124.45,8007.29,7901.56,9667.67,8489.25,7012.63,8349.62,8413.64,7142.18,8945.06,9654.26,8225.81,7513.36,9803.92,7771.61,7822.57
