"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15760,272,180,144,160,120,140,164,140,128,184,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20432,476,480,396,308,428,388,360,268,200,196,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16676,3584,3224,3580,2588,2832,2564,2592,1444,636,340,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16240,10728,11236,9680,10328,8124,8040,8252,4688,2296,992,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12592,14344,9296,11228,11784,11348,12832,9004,6540,1408,580,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15244,14372,10776,13180,13824,13708,10572,8912,7228,2488,708,NA,NA
"H",15940,12972,13424,13184,10592,12932,12600,15280,11324,13452,11376,15912,13740,12524,12720,16028,17264,16832,11700,16104,12720,15448,23468,20956
"I",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14948,NA,14176,16460,14684,20904,12000,14128,11232,2172,608,NA,NA
"J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
