"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",77720,68760,74840,80400,78160,73760,80480,81040,78720,79600,76000,79000,71560,62760,440,160,40,40,40,0,40,40,40,0
"B",68520,17560,18560,18320,21200,20920,23880,24960,30200,30360,31960,83840,88200,67360,600,240,80,40,0,0,0,40,0,0
"C",83440,17200,17200,19400,20040,18840,20520,22520,27520,29520,29600,86120,85760,74320,640,280,40,80,40,40,0,0,0,40
"D",74680,15560,16080,16280,18480,22640,19880,25040,31520,33160,31040,80960,83320,72440,520,160,120,80,40,0,40,0,40,0
"E",81600,16000,15840,16920,17200,18800,19600,23680,29320,33720,32120,92760,83440,73440,640,200,160,80,80,40,0,40,0,40
"F",70560,14040,15480,18720,21760,26200,26840,34880,61000,72720,67000,89960,90280,80520,760,280,120,80,40,40,40,40,40,0
"G",79120,14240,15680,20400,23040,25120,28360,43040,70960,81280,84360,87680,88360,78240,680,320,120,120,40,40,40,0,40,0
"H",71840,12760,14400,18560,22240,33600,31120,46520,77760,83840,81120,81280,80840,80080,600,160,200,80,40,40,0,40,0,40
"I",79640,80000,71320,94800,83920,87200,86040,88840,93760,92920,94280,98800,94640,87760,560,320,80,120,40,40,0,40,40,0
"J",98960,83760,80200,87400,88280,91040,89520,85360,91440,93360,86200,90720,93160,85560,640,320,160,80,120,0,40,0,0,40
"K",87480,85680,96000,85040,87840,85640,86920,91880,94600,92000,98880,98000,88680,79400,640,280,160,40,80,40,40,0,0,40
"L",75360,75920,85760,84000,84440,96440,89360,91760,88440,88720,95600,87760,84640,79320,600,280,160,80,40,80,40,0,0,40
"M",85000,77480,84760,86400,86760,87920,81440,89600,86480,91640,89720,91280,83400,72120,680,240,80,80,80,40,40,0,0,0
"N",67080,75080,78040,78440,79800,86080,82520,75080,84440,84680,76600,79400,85600,68040,560,320,160,40,80,40,40,0,0,40
"O",82280,83640,86680,93640,90280,83440,86080,90480,88080,88120,87040,80040,83080,80440,600,200,160,40,40,80,40,0,0,0
"P",65880,69560,70880,74880,85160,81680,87400,83760,79640,79760,75600,75440,68920,66280,480,240,80,80,80,0,40,0,40,40
