"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28315,27070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27766,35080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28522,35745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35915,33956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35709,39111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35819,33661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H",21030,NA,NA,NA,NA,NA,NA,NA,NA,NA,38590,37436,40171,NA,NA,NA,NA,NA,NA,NA,NA,NA
"I",767,723,1159,1012,1291,1207,1272,1183,1489,1284,35693,37142,1713,1337,798,1109,1159,1000,987,1022,1177,997
"J",2695,2558,2451,2573,3114,3289,2601,2978,3067,2379,32174,31970,2515,3199,2844,2201,2433,2480,3048,2883,2529,2514
"K",7509,10063,9880,10221,11291,11147,11628,13359,12390,14502,33686,35772,16032,14879,12755,10966,10840,8086,10448,10678,8829,10720
"L",30290,32113,35227,36543,38018,37396,34367,23192,23532,29276,36658,35861,31237,38564,33180,36422,30832,25994,25252,21042,19435,17643
"M",33372,36605,37198,33193,36696,32069,26467,24939,24795,23926,36719,32806,38401,38812,33541,38361,33056,36060,24521,23661,14624,15615
"N",33551,35750,37279,34409,33872,30985,28115,27530,17190,17314,36606,35199,33915,35161,32701,34427,36146,26992,25167,22930,15804,16567
"O",31070,33115,30512,33629,33723,27308,24050,20850,20303,20677,28637,16682,35409,30107,30292,36382,31014,31307,23317,21329,15620,19
