"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",140080,NA,174160,149360,179280,166040,178320,173320,110640,203240,160520,185120,192600,200920,141800,198640,164880,159480,155080,172000,134720,159960,178240,174240
"B",177120,138480,182280,177000,173080,156960,208040,197280,NA,170880,171800,199280,171560,176600,171200,138080,175320,161920,160720,172200,178120,167320,158560,173080
"C",170160,200120,161080,143880,167080,206760,133160,188600,170720,184480,201320,211000,154680,208600,209480,133800,170760,205840,202840,168480,176280,163680,179360,167040
"D",NA,143440,134240,191200,205120,163200,210280,216560,105280,92400,211960,204280,189320,208120,154160,181640,181440,167840,168560,175280,201200,193280,164560,165320
"E",236360,166200,184040,181960,177440,93040,213400,177600,151720,150320,163920,208600,175840,188240,170800,142880,205160,101760,145040,128880,192080,141840,163160,127600
"F",209840,165280,NA,210440,185000,185280,151480,176360,173440,140400,187080,168720,208600,202920,196680,186360,174840,193160,NA,NA,182120,172320,172200,119920
"G",214120,184680,NA,213840,121920,173760,143680,205040,206440,204960,214840,126840,177760,98320,173120,168440,188760,200200,187400,198640,158320,192240,121560,122640
"H",216320,216160,210360,171040,169200,189960,162320,175360,210120,193480,197080,177880,192040,202000,148800,166520,202600,195640,NA,162600,NA,127360,172120,137600
"I",143800,185960,175520,183240,138000,NA,210840,116600,185520,213200,151880,209240,199800,208720,184120,185920,178120,198720,143440,181120,192440,146920,NA,111640
"J",148200,180200,NA,193120,210960,205440,173600,159040,204000,211000,159040,214280,152720,199600,127800,202400,208600,165960,151320,200680,183760,165320,194440,180440
"K",175760,184160,196960,167440,166600,196400,136560,209520,193480,89560,204880,206760,204360,201960,164240,197320,184040,NA,164640,196640,118880,130240,168920,103880
"L",170600,162880,182560,169840,NA,148080,202720,175080,203720,143040,133840,175560,155280,NA,204720,201600,NA,167560,157320,194400,167080,157880,189680,116720
"M",185880,176360,172400,174160,175960,202720,151400,210400,158760,201440,205600,117320,88800,199080,201960,173880,194800,196640,146760,NA,170760,181920,154840,148840
"N",159400,179200,134360,184960,182400,175320,207120,189440,157560,179080,202720,91960,191200,142200,126080,167200,198080,166960,202160,192760,155960,NA,157440,148320
"O",155280,165200,192120,NA,163640,88720,194960,NA,173520,157280,199400,208000,200360,200200,154160,NA,190880,174080,160880,186040,183360,166920,125120,139480
"P",169960,NA,138840,155800,195240,197360,173840,168480,152720,195400,157840,202400,192800,201960,164520,166320,178040,190440,102600,155120,NA,137640,NA,141320
