"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",67360,NA,117240,93240,93400,85720,93120,85120,75280,165880,83040,155880,149080,143000,138120,150520,91360,89000,90600,135800,85680,95640,121960,117360
"B",85640,107760,114720,106480,117000,95800,167640,118480,NA,115480,94840,149840,92040,120200,91080,143400,97640,118280,96840,116080,127400,102520,96520,120200
"C",165120,138400,122280,99960,113880,174320,98920,98800,106280,110000,162360,166000,96920,182680,168840,94720,102640,153880,160040,104040,105120,104280,141920,107520
"D",NA,145400,102800,145920,152200,111000,167240,172320,114680,93640,170720,175080,159560,188640,99440,158840,107760,98040,129640,170160,166520,173600,99800,110040
"E",158000,99960,104360,108160,98000,87240,194440,107320,101560,108600,105960,175720,102920,108440,102120,102240,170000,89280,104680,108920,184240,105200,129520,115720
"F",148400,98160,NA,154840,130440,152000,105560,138320,115960,170120,100040,99040,165480,190520,188480,156480,126520,179040,NA,NA,139880,170400,108560,83200
"G",141760,122200,NA,166880,103880,101240,103440,191560,171720,191840,188520,109560,101880,86120,166680,131640,157560,180080,130680,189240,98960,203800,95480,77680
"H",160000,155080,165920,103640,109560,146800,108600,96480,162360,179480,171080,173640,196760,197440,96440,103000,162000,180680,NA,116000,NA,117160,101400,76920
"I",86560,178560,109080,109680,105200,NA,178200,110920,116080,174760,97760,186360,166040,172720,113760,158760,166960,165680,107680,132560,193440,104400,NA,67960
"J",129720,107560,NA,160440,166520,155880,105080,107360,186880,187800,100360,182480,100560,195840,106120,167520,167360,110040,100640,175120,191040,124080,152960,145960
"K",93560,139560,145720,111720,104280,158760,145560,183280,173000,95600,171320,174960,174080,202320,103320,187920,128760,NA,97920,165680,147320,147360,94560,67400
"L",140200,102200,138200,106120,NA,103000,168960,116960,219280,103560,107760,103600,110000,NA,167960,177960,NA,101720,96640,170640,159160,106000,157720,71680
"M",136200,127040,128160,152600,116680,164080,102560,168280,104000,195280,167480,102920,96360,192440,173160,119040,190680,154200,94440,NA,132920,165040,106080,79000
"N",89040,137360,101160,162560,181400,112040,163520,115080,99560,132040,164520,91080,123880,94400,91480,91080,161040,149560,161720,160080,101480,NA,117120,87520
"O",83680,95200,144920,NA,95200,96000,161120,NA,123640,92360,166200,161400,168240,170920,100800,NA,158880,155360,102120,160480,148560,130280,85120,88840
"P",105840,NA,89160,92400,161360,152320,116400,101400,86360,171720,102240,145920,144960,164920,90160,100560,168840,149520,94760,124280,NA,93520,NA,69800
