"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",87440,NA,214960,160800,242560,233880,284600,246240,74960,254600,228280,228480,271400,288040,55360,203720,242800,214920,216920,185720,138920,190080,186480,202720
"B",206040,54800,186520,231000,206440,223880,305040,287480,NA,236600,216360,204720,284120,265560,222080,17000,254760,110280,222520,220760,256960,199720,200760,220680
"C",208360,200320,125960,181960,233320,248760,247040,271800,236520,244560,177360,199480,126480,265160,178440,224680,259960,215360,216440,209120,281280,199520,219720,183000
"D",NA,34600,141880,248640,252840,207240,248400,222280,24440,81080,249120,189960,102080,262800,184680,176640,288320,209000,169480,213040,256160,220760,224280,227120
"E",270320,128120,233440,267600,267000,31680,288080,257000,222680,246840,245720,200560,289560,290440,162840,242520,286480,45160,91920,207320,273120,207920,154080,87640
"F",245720,138280,NA,197640,235880,233160,209840,234040,200200,28520,247800,229760,250360,214240,187120,277240,248800,198000,NA,NA,281600,201760,234320,186320
"G",283720,210160,NA,261240,5400,251200,273000,242400,215640,262880,259560,148400,303960,16720,63440,271720,156880,221240,254840,213920,274560,251800,167680,205760
"H",251240,236160,230240,243400,231320,226120,236400,228560,188720,69600,45520,172760,202920,246440,206480,252240,247560,154120,NA,167880,NA,24800,254800,203240
"I",196640,163200,208320,239560,98480,NA,262360,9120,233160,221880,223240,235560,241480,250160,198760,235520,83560,162240,219160,212240,246360,191120,NA,65360
"J",32000,234840,NA,264040,191080,214320,252560,184560,196160,252160,174400,186280,210960,271400,181160,273680,197960,186160,207040,194800,170600,236720,250120,225720
"K",271520,213800,227720,175720,187640,236120,7840,239800,43640,12120,263440,247320,261560,233600,194400,254000,249600,NA,212840,210320,5320,11800,263440,59120
"L",163080,216040,245000,209320,NA,75560,247680,245080,227360,226720,84400,250040,206320,NA,192400,166120,NA,205080,209640,214640,204240,208560,230960,62320
"M",230280,225560,260280,209560,240600,210440,198680,220520,153520,238000,258400,172280,7920,287120,224320,277640,247760,198440,238920,NA,223760,222880,196960,222760
"N",200560,239440,159560,224480,215840,247280,286080,289560,209840,268560,237920,9280,282720,241480,185120,266160,246160,183520,215840,216920,248320,NA,184800,193400
"O",236360,244640,223320,NA,244000,80720,222520,NA,233360,233000,245080,180360,261920,242360,194600,NA,222520,194760,231840,242000,243520,214960,215600,147840
"P",243800,NA,221480,171960,230440,268400,254560,216000,222080,238520,138760,265200,281000,205640,212440,283240,224720,223600,97920,215600,NA,212160,NA,198560
