"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",880,NA,212440,2200,206600,123000,177560,110520,1760,235240,73280,174800,234800,242120,2120,2880,115160,115880,112560,3480,1800,120560,151200,204920
"B",174720,1440,162720,174040,3320,117520,253120,184400,NA,185440,33720,237560,181360,228000,191360,2720,154040,2760,147960,192000,2e+05,196320,98080,191400
"C",1760,143240,1680,15520,110480,205200,121240,152640,161640,150880,2680,194840,3040,210440,92560,127840,170720,195920,248680,154520,171920,174760,186720,3240
"D",NA,1720,2080,195440,210920,37440,185760,182840,2600,2720,237080,84600,3320,215800,96680,4040,215600,145080,3880,243040,198800,242560,131840,211320
"E",269000,2320,184760,177000,171840,3120,247800,168280,134440,150440,136880,233000,146480,197040,3440,128160,279480,3200,2720,125720,197280,75120,2440,1680
"F",201720,2600,NA,94680,191880,180120,31080,170520,50000,3280,173280,161760,202320,101160,167480,195760,161080,192560,NA,NA,184680,195520,182840,51280
"G",233920,181200,NA,264360,3640,160440,155800,196360,226320,228360,251520,4760,180720,2640,3240,237920,3160,197240,243920,229840,142200,258520,2680,107000
"H",229160,196920,194560,155480,182280,200440,92000,153000,177440,3280,3040,63800,6480,101720,142280,142560,237240,5040,NA,3600,NA,2840,155920,91600
"I",58280,2800,158920,176200,2840,NA,250440,3200,210440,214760,144920,221840,251920,220840,214560,225240,3360,4920,202920,209560,207760,102240,NA,1840
"J",1760,160880,NA,181960,93080,186840,145840,30880,185680,196120,4240,160280,41240,191320,110240,202920,95840,154040,140640,171800,5520,187360,222160,237840
"K",180800,191960,221520,4320,45840,204400,3520,208120,2920,3200,276840,227160,228000,213400,184240,235840,246560,NA,153520,258200,3040,3520,154960,1680
"L",2200,123800,207920,141200,NA,3480,226680,164920,218440,147000,3120,173560,50280,NA,213800,7000,NA,162800,150640,215920,80880,185120,184160,2040
"M",96520,264520,240400,128840,219840,205640,40960,220720,4320,259840,239560,31400,3000,253800,256320,286280,251000,250200,134000,NA,222320,308760,54040,153120
"N",92960,188840,3440,195320,210560,169360,214720,209360,149880,173920,212400,2840,198200,175720,132480,154680,197160,197120,269920,239480,150160,NA,3680,50760
"O",157440,138240,177120,NA,135720,2960,252040,NA,202360,124000,202760,4600,223080,194040,166920,NA,203280,176720,221120,230960,200040,190320,112120,1320
"P",181160,NA,117640,2000,72760,217640,222720,3000,127320,206360,2160,214000,223040,6400,130440,182400,208040,190280,2200,74280,NA,99080,NA,135960
