"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",45320,NA,100800,58640,87320,71360,68960,71800,35640,126160,60600,128600,128640,137000,63960,105040,75360,65280,70560,113040,61040,77800,112400,110000
"B",79600,64600,107240,82680,84320,75720,134080,100840,NA,84840,72000,131400,78480,117240,88400,82040,91280,82680,81480,115040,132640,84760,83200,134600
"C",105360,112600,107600,74880,86360,148840,84600,87200,82560,88360,104560,129680,74040,166720,127080,82320,98200,144320,147880,96960,92440,85440,113080,85560
"D",NA,72040,75760,136520,140400,80960,132520,140320,57680,50760,150680,124480,104920,173800,84200,118560,114240,94560,102360,157720,147120,149120,80520,116080
"E",160120,62960,103280,98400,97840,39320,171520,106120,96280,88880,84480,158440,92040,102480,85800,89800,171480,44000,66560,96640,190320,83080,90880,76160
"F",149720,67440,NA,121200,119880,146640,84720,109760,92480,78960,92800,84640,149800,149920,159040,128400,124760,168600,NA,NA,140760,136880,91480,64760
"G",144240,104120,NA,152400,69600,89960,86640,163400,155000,157640,165920,78200,95800,46280,140200,104800,116120,154080,109040,168000,88640,180400,75560,75000
"H",157480,134600,129200,93000,93320,168160,88200,93920,126280,101200,107400,136040,159720,181320,98960,91200,165400,131400,NA,89280,NA,62840,92640,70920
"I",69400,138720,96920,93080,76560,NA,156920,63040,101840,149680,97160,169040,175360,160320,97040,152480,120080,142600,86800,110920,160080,78320,NA,40400
"J",71160,99080,NA,132560,127920,144960,90040,77720,163640,164000,77520,139720,84200,178600,89360,142320,136640,96560,86800,150720,154800,118880,141560,138080
"K",84200,131200,132560,79880,81840,138320,78280,159160,110400,53280,156760,149240,152560,169320,91400,175240,121120,NA,83040,153800,77760,89040,86760,37120
"L",104920,90440,133440,73800,NA,73360,165680,109160,165600,91240,75600,93320,85920,NA,145400,134720,NA,98560,90400,147240,126320,86280,150880,38800
"M",120640,117240,122200,115320,104240,148800,84720,146440,78040,160040,157600,77400,54720,173720,148640,119120,181480,143240,78880,NA,138400,159000,80960,73640
"N",85440,134360,74720,148960,169560,101760,148920,108040,85240,102280,139680,49720,116400,88400,92840,86360,167440,135960,140680,153400,89040,NA,82560,67360
"O",70640,80960,135040,NA,85160,66880,149120,NA,104640,81400,155440,114720,154040,166880,82760,NA,152120,141560,90160,140840,143920,117440,77360,57760
"P",115360,NA,82480,70920,123360,136720,130960,73440,77600,171040,67520,138760,146800,128200,76880,92520,160960,154120,63560,88640,NA,68880,NA,57840
