"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",58120,NA,145800,132640,154440,145920,162720,161200,32840,199920,151920,168040,165760,175320,21360,165040,150400,147200,155800,164080,118040,122000,138400,164240
"B",138280,32480,162600,165440,166640,160640,188440,172560,NA,172880,166200,174720,160000,171480,167240,41320,166120,133600,174000,165160,168200,133480,124920,150960
"C",147160,158960,124040,135320,157840,172160,142680,160080,165560,164760,146080,171760,132640,164480,173080,146680,158480,176440,180240,151520,151160,134800,148160,156520
"D",NA,30760,132080,165800,178080,157720,171960,170360,32880,35360,169480,170600,143560,163080,152000,160160,157240,151320,155360,159080,159160,158080,150280,157960
"E",194920,127040,163120,161560,154680,37680,182160,154800,143080,135680,148160,163880,155720,158000,150240,133720,179760,36160,128840,137680,175360,145640,134080,29280
"F",173160,125800,NA,167040,156360,160520,149240,158760,156920,30640,157560,148000,165280,160320,159800,157280,157800,158040,NA,NA,161680,158160,161440,139160
"G",197440,159520,NA,184480,36880,157760,138280,166600,182160,177240,182640,130920,152160,21440,134040,158240,135680,161120,157160,155080,140480,163760,132960,140600
"H",190160,180080,177680,161040,156440,160120,148800,153160,169720,145440,143080,156000,165120,159600,132480,142680,162000,168080,NA,144280,NA,31120,168360,158360
"I",143400,134080,168280,155200,125880,NA,187360,37640,153160,165600,122840,145320,163200,163840,152600,156040,132520,164560,150760,151280,158120,150200,NA,33880
"J",38440,166440,NA,158920,161400,160320,153320,138640,160440,160560,143760,164760,147320,155040,131360,152240,160960,153240,150400,158960,155320,153680,173160,175600
"K",170880,169960,171240,148520,151480,161800,37920,176080,136800,36920,180840,159680,201920,157200,138600,158840,151200,NA,154800,159520,26240,35640,154360,33760
"L",160640,159960,174200,146400,NA,127200,170840,155640,165280,135720,124200,149160,150000,NA,158720,166080,NA,153080,156920,156160,156120,153640,163600,35720
"M",180280,186080,176240,182880,159280,166800,150360,171760,155440,196920,194920,135960,40040,166600,165240,159920,173040,182160,158120,NA,158960,173160,148040,153000
"N",143760,167520,150440,165440,168440,155680,173920,160880,159960,154920,165960,39280,154840,137480,137200,151520,169160,152600,193920,159680,150760,NA,148520,145240
"O",139520,151920,163040,NA,159200,120800,182240,NA,163280,156880,176400,172920,175920,169840,160640,NA,169600,160800,169680,175720,164440,151920,131440,120320
"P",129520,NA,138120,141680,183400,165320,167760,161240,161000,158400,132520,162920,170160,169880,156960,155480,169920,170200,113160,145400,NA,136280,NA,119360
