"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",15063.06,22598.64,20961.87,27082.18,25735.28,28343.05,27143.87,29542.05,20897.35,25725.13,28427.41,28797.41,27851.83,27617.43,26228.34,26427.43,25629.16,26128.98,24334.74,25139.87,22217.06,26483.55
"C",26118.51,5004.88,6787.91,6616.02,7965.99,9868.67,11061.07,12386.26,12045.2,12321.43,24017.97,27305.87,14701.85,6613.35,7396.29,7148.95,6929.96,8084.33,11414.17,11674.19,10484.77,22546.5
"D",17424.36,5136.21,7956.22,8276.87,8454.33,10892.01,10992.08,11472.26,11444.27,12603.11,27214.66,27020.97,13695.74,5093.77,9278.52,8193.5,8311.34,8859.27,9471.73,12798.77,11704.06,21262.92
"E",28152.71,7231.82,8303.6,9133.97,5995.25,9111.44,12195.36,12842.84,14727.39,12927.7,27561.72,28120.86,13965.14,7860.43,8421.79,8399.31,9419.11,10571.24,13646.14,12818.9,9962.94,26829.81
"F",19431.17,6125.45,13386.61,5773.53,10978.94,13016.26,13882.5,15340.28,14651.44,27372.72,24652.14,24201.78,13369.64,8401.58,14686.81,10524.82,7941.53,12690.2,15670.34,13976.68,26813.39,26569.49
"G",27617.6,8734.42,9873.32,10665.69,12625.93,15850.63,17549.01,16107.73,20225.85,20644.25,29317.65,27983.68,18723.65,9405.28,10268.01,11151.92,11162.26,16942.78,18124.96,19455.7,17812.57,27362.61
"H",24279.58,7851.96,11593.82,12331.31,13007.31,18722.29,22960.83,23430.63,24726.14,23628.32,29478.49,28546.49,24833.72,10584.31,11652.46,13734.42,13239.4,18155.25,20909.93,22252.69,23165.45,21118.6
"I",27250.52,10224.81,13856.14,14117.48,14386.68,21050.71,28762.27,24413.99,27618.61,29010.98,30024.59,30224.13,30376.37,12930.59,14774.83,16458.78,17983.07,20211.71,25335.69,24976.6,25888.39,26563.79
"J",26235.64,10393.51,12059.63,14811.42,16509.64,20816.03,25310.24,25021.42,28283.86,27431.53,29673.94,28947.05,28929.87,13401.44,13983.75,14903.61,15677.61,21426.81,24649.68,26616.02,28544.93,27854.43
"K",23929.6,10609.56,13112.64,14569.42,14557.85,24547.18,27144.22,27128.91,24535.62,27223.94,27693.92,29425.88,26595.81,13356.36,12986.43,17726.84,18022.35,23143.29,23596.49,27446.81,27107.68,27426.01
"L",27757.9,11223.79,13771.68,16870.65,17483.47,22676.63,27231.2,26368.59,29132.61,29053.6,27466.6,28611.23,27620.02,11889.31,16671.67,16702.72,15427.88,23430.14,26406.87,26111.97,27018.54,26665.1
"M",18200.75,9428.45,14394.14,15063.33,15106.47,19824.97,27235.08,23207.94,26329.12,27801.11,28505.36,26944.6,25286.04,11849.66,12289.29,15245.6,14795.76,18538.95,23388.98,25665.91,28095.13,25011.04
"N",24266.03,23774.83,22540.41,22586.56,26388.61,20581.39,23257.26,23698.44,23478.68,29454.14,22692.83,25264.22,28251.77,26986,24114.58,25135.57,24535.88,23779.27,24864.28,26630.94,21590.68,26923.97
"O",27967.88,19146.87,26101.07,24735.65,26695.66,25102.15,25459.15,29500.97,27822.86,26726.74,29028.42,28161.9,26191.8,27753.93,26297.09,27422.34,26569.1,18090.33,28362.14,26712.68,27276.19,21802.9
