"","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"B",7244.69,11554.03,11860.5,8550.22,11633.76,7760.75,8686.85,9205.25,9881.41,10186.71,11026.46,10239.28,10662.74,10266.13,10169.54,10474.13,11320.81,10929.71,11561.17,11838.01,10567.77,8844.88
"C",11531.02,164.16,207.24,212.87,284.39,365.97,401.08,706.59,859.25,711.4,10791.54,8535.02,1182.98,172.99,237.97,400.1,218.24,324.46,453.89,588.75,731.41,9395.57
"D",10653.22,130,222.24,232.26,318.12,304.58,274.03,379.48,908.47,740.6,8964.12,12431.3,805.77,192.54,193.27,180.99,297.48,462.89,351.73,536.94,724.65,10800.97
"E",10837.42,148.74,244.58,188.75,439.95,374.62,405.46,655.13,793.88,1713.35,11819.62,10518.85,1624.46,150.86,257.07,173.07,452.7,339.11,646.38,510.82,863.08,11881.52
"F",8892.42,176.65,177.75,246.82,236.46,228.45,548.22,712.22,1453.35,2227.39,13589.68,11449.87,2905.32,227.26,210.1,296.16,406.81,453.1,418.53,633.33,1217.56,11608.01
"G",11637.43,199.53,271.94,229.29,206.22,315.61,503.36,752.25,1990.37,4465.16,12319.72,11995.86,4217.12,181.6,289.57,218.99,316.63,227.45,483.92,837.08,1834.22,11701.39
"H",10905.32,201.8,315.32,308.45,469,406.31,616.72,993.2,1934.75,4283.59,12421.54,11988.94,4952.57,275.76,449.86,544.03,482.92,345.38,795.97,1116.06,2584.55,11504.24
"I",11898.65,217.37,342.85,438.52,510.97,547.38,766.18,1591.1,4171.61,8678.77,11755.78,14349.95,9410.78,206.65,358.34,542.55,300.7,386.67,712.91,1741.55,4614.16,12591.25
"J",9888.89,231.94,217.31,416.72,402.51,547.46,671.78,6880.27,11515.92,11004.26,12479.75,11314.61,8988.01,249.88,254.48,402.48,366.52,337.25,823.6,7408.37,11060.48,12646.46
"K",12467.78,246.89,219.78,381.76,492.97,622.85,1164.53,10720.03,10393.19,11927.65,12793.73,11875.83,13094.29,291.18,316.5,713.56,345.69,527.12,919.67,10250.64,11077.22,12025.41
"L",11158.37,282.69,307.78,321.9,369.71,449.26,2360.16,11709.25,12140.53,12514.81,11758.81,11256.04,11850.49,294.64,371.49,405.53,370.7,617.07,1549.82,11504.85,11263.66,11880.44
"M",11177.32,338.85,389.78,327.49,479.59,616.49,4178.93,12337.9,11515.9,12760.72,10147.95,11011.38,12426.13,509.03,247.94,475.68,424.96,649.67,4744.14,12261.9,11843.62,11806.12
"N",10980.4,9387.95,9001.62,9140.3,9671.52,9252,10444.11,10683.81,10291.16,10185.75,13341.16,10638.56,12549.05,10066.1,10632.64,10952.25,12556.16,10831.02,10873.88,10616.6,10684.46,11667.25
"O",10110.77,8115.74,9611.22,10135.92,9942.95,10494.53,9013.03,11766.25,12079.92,11799.76,11175.29,10474.09,10018.58,10763.93,12353.48,13031.57,11062.96,9601.82,10246.02,11571.58,11438.6,11054.26
