"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"A",270520,288320,341560,240240,241760,278720,240120,241360,306960,235200,280640,249880,254320,287120,284120,233120,240040,299040,304440,362440,240960,230320,311240,251200
"B",340240,286680,249160,273920,232520,346600,238280,238680,236040,295360,230280,299640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243880
"C",253400,241560,233200,241320,228680,235360,340120,344320,353240,228840,229880,264840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235680
"D",251640,240320,228880,307440,224000,220920,232640,281040,227120,284760,229200,308280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240560
"E",237240,250200,289160,233040,275000,225840,228800,231960,233760,225240,310440,323080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266320
"F",232320,239640,220680,315040,227200,222800,223240,272400,226640,239240,236040,306400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,293000
"G",234880,354120,353960,222760,280120,227760,238520,329600,349520,313280,297160,296840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226680
"H",227480,226760,315920,231640,230480,225400,285160,223240,222000,266000,220800,216680,213760,325600,265400,307480,280520,227800,330160,220880,226840,306720,306840,227880
"I",238880,235040,292160,238960,239320,306800,280640,280040,326720,223520,225280,225200,213400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225280
"J",232600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224160
"K",242600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223560
"L",238040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224240
"M",334520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272640
"N",240040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233040
"O",243400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238840
"P",257320,245240,245280,244920,289960,235200,234960,238400,236320,283520,249760,246800,250760,235040,298920,226240,230480,297440,349160,276600,345720,224520,225600,238440
